Ingrediet Name,Ingredient Parent Name
Green chutney thick,Chutney
Red kidney beans (rajma) boiled,Boiled
Tomato roundels,Roundel
Fried onion,Onion
Lime juice,Juice
Strawberries sliced,Sliced
Green Gram, gram
Leftover dal,Leftover
Green capsicum deseeded & chopped,Deed
Coconut milk powder,Milk
Oil 1 tablespoon + for grilling,Tablespoon
Pickled jalapeno,Jalapeno
"Tomatoes,chopped",Tomato 
Split pigeon peas (tuvar dal) soaked and drained,Split
Tomato basil pasta sauce,Sauce
"Raw Banana boiled, peeled and mashed",Peeled
Basmati rice soaked for 1 hour,Soaked
Mint mayonnaise,Mayonnaise
Slivered almonds,Almond
Mace blade,Blade
Caster sugar,Sugar
Spring onions thinly sliced,Onion
Onions cut into cubes,Onion
Tomatoes blanched and peeled,Blanched
processed cheese,Cheese
Cucumber finely chopped,Cucumber
Tomatoes blanched and chopped,Blanched
Ripe Banana,Banana
Dried button red chillies (bor mirchi),Button
Barley,Barley
Capsicum finely chopped,Capsicum
Kaju katli,Katli
Oil spray,Spray
Lemon pickle,Pickle
Split Bengal gram (chana dal)  soaked,Soaked
Dried red chillies halved,Halved
Bathua,Bathua
Seedless dates soaked in hot water,Date
Potatoes grated,Grated
Leftover cooked kolam rice,Rice
Fish fillets cut into 1 inch pieces,Fillet
Edible golden dust,Dust
Cucumber grated,Grated
Button Mushroom,Mushroom
Readymade tomato puree,Puree
Green chilli roughly chopped,Chilli
Caraway seeds,Caraway 
Corn corb,Corb
Refined flour (maida) sifted,Sifted
Wheat Flour,Flour
Fresh coriander sprigs chopped,Sprig
Chocolate chip cookies,Cooky
Fried onion paste,Paste
Capsicum,Capsicum
Guavas,Guava
Paranthe,Paranthe
Almonds roasted,Roasted
Pistachios coarsely ground,Ground
Large tomato chopped,Tomato
Mixed bell peppers finely chopped,Pepper
Rose Syrup,Syrup
Red bell pepper roughly chopped,Pepper
Scraped coconut ½ cup +,Scraped
Finger millet (ragi) flour,Flour
Balsamic reduction,Uction
"Boneless chicken leg, cut into 1 inch pieces",Leg
Jumbo prawns shelled and deveined with tails intact,Intact
Carrot peeled and chopped,Peeled
Lollo rosso romaine and ice berg lettuce,Lettuce
Micro greens for garnish,Micro
refined flour (maida),Maida
Purple cabbage shredded,Shded
Ham,Ham
Almond milk,Milk
Gram flour (besan) ½ cup + 2 teaspoons,Teaspoon
Italian meringue,Meringue
Mutton cut into 2 inch pieces on the bone,Mutton
Pedhas,Pedhas
Green capsicums cut into thin strips,Capsicum
Jalapenos finely chopped,Jalapeno
Egg wash as required,Requi
Readymade chicken tikka,Tikka
Mushrooms finely chopped,Mushroom
Green chilli  slit,Slit
White Bread,Bread
fried basil leaves,Basil
Coriander-mint chutney,Chutney
Pomfret fillets,Fillet
Fresh coriander stems chopped,Stem
Whole wheat flour dough,Dough
Tomato quartered,Quarte
Skinless Split Black Gram soaked,Soaked
Fresh coconut chopped,Coconut
Colourful vermicelli,Vermicelli
Dried coconut grated,Grated
French beans diagonally sliced,Sliced
Tomato seeded and diced,Ed
Mini burger buns,Bun
Garlic grated,Grated
Marinara sauce,Sauce
Panko crumbs,Crumb
Mint mayo,Mayo
tomato puree,Puree
Green capsicum cut into 1 inch cubes,Capsicum
"carrot small, finely chopped",Carrot
Lentils,Lentil
Ripe mango pulp,Pulp
Cornmeal dough,Dough
A few sprigs fresh parsley,Parsley
Egg lightly whisked,Whisked
Surmai darnes,Darnes
Boneless chicken chopped,Chicken
Medium tomatoes roughly chopped,Tomato
Bird’s eye chillies,Chilli
Scraped coconut freshly,Scraped
Oil 1½ teaspoons +,Teaspoon
Turmeric (fresh),Turmeric
Soya sauce,Sauce
Tortilla chips,Chip
Ripe mangoes roughly chopped,Mango
Onion strips,Strip
Yellow capsicum 1 inch pieces,Capsicum
Beetroots,Beetroot
Canned apricots,Apricot
Hazelnut spread,Spread
Raw Banana,Banana
spring roll sheets,Sheet
Sprouted moong,Sprouted
Urad dal papads,Papads
Masala powder,Masala 
Vanilla Essence,Essence
Mint leaves finely chopped,Mint
Paneer (Cottage cheese),Cheese
Green capsicums chopped, capsicum 
Tea,Tea
CMC,Cmc
Drinking chocolate,Drinking
Butter 1 tablespoon,Tablespoon
"Onion small, finely chopped",Onion
"Fresh mint leaves chopped, 1 tablespoon +",Tablespoon
Ripe Bananas,Banana
Cumin seeds roasted and powdered,Roasted
Broccoli finely chopped,Broccoli
Sorghum (jowar) flour,Flour
Medium carrot peeled,Peeled
Prawns (medium) chopped,Medium
Cherry tomatoes sliced,Sliced
Red capsicum roasted,Roasted
Roasted Bengal gram (daalia) powder,Daalia
Fresh Yeast,Yeast
For roasted peppers,For
Lotus stem,Stem
Green mangoes, mango
tendli,Tendli
Lotus root,Root
Refried beans,Bean
Pressed rice,Rice
Meat masala,Masala
Coconut  scraped,Scraped
Orange Marmalade,Marmalade
Shimeji mushrooms chopped,Mushroom
Chickpeas (kabuli chana) cooked,Cooked
Carrot 1/2 inch cubes,Cube
Penne pasta,Pasta
Chicken boiled,Boiled
Sichuan peppers,Pepper
Butter 1 teaspoon +,Teaspoon
Jaggery (gur) roughly chopped,Gur
Green zucchini cut into roundels,Zucchini
Onion  quartered and layers separated,Separated
Green capsicum cut into dices,Capsicum
Bottle Gourd,Gourd
Brown breadcrumbs,Breadcrumb
Pomegranate (anar) juice,Juice
Split pigeon peas (toovar dal) soaked,Soaked
French beans stringed and chopped,Stringed
Nuts chopped,Nut 
Boiled green peas,Boiled
A fresh mint leaves,Mint
"Capsicum mixed, cubed",Cubed
Chickpea stock,Stock
Fresh red chilli diagonally sliced,Sliced
Bitter Gourd,Gourd
Syrup,Syrup
Burger Buns,Bun
Fresh fenugreek leaves (methi) finely chopped,Fenugreek
Fresh Coriander Leaves,Coriander
Cottage cheese (paneer) cut into small cubes,Paneer
Spinach leaves (palak) blanched and chopped,Blanched
jaggery,Jaggery
"Shiitake mushrooms dried, soaked",Mushroom
Corn kernels  boiled,Boiled
bhavnagri ganthia,Ganthia
Boneless chicken breasts cut into small pieces,Breast
Tata Sampann Dal Tadka Masala sachet,Sachet
fresh parsley finely chopped,Parsley
Shallot,Shallot
Ice cream essence,Essence
Onion wedges,Wedge
Shrimps cleaned,Cleaned
Black grams split skinless,Split
Fresh coriander leaves with stems,Coriander
Fresh thyme sprig,Sprig
Falooda,Falooda
Corn chips,Chip
Lentils soaked,Soaked
Muskmelon,Muskmelon
Lollo rosso leaves,Rosso
Rosemary 1 fresh sprig,Sprig
Lychees tinned,Tinned
Bathua chopped,Bathua 
"Yogurt,whisked",Whisked
Bananas puree,Puree
concentrated mango powder,Mango
Crisp Puris,Puris
Mango puree tinned,Tinned
Milk 1 litre,Milk
Mixed Sprouts,Mixed
Butter for brushing,Butter
Shrimps shelled and deveined,Shelled
Mutton Chops,Chop
Spring onions diagonally sliced,Sliced
Carrot puree,Puree
Lamb Mince,Mince
coriander sprig for garnish,Sprig
Crust,Crust
Boneless chicken breasts sliced,Sliced
Tender coconut water,Water
Fresh mixed herbs chopped,Herb
Chicken minced,Minced
Spinach Puree,Puree
A few strands of saffron,Strand
Rose petals crushed,Crushed
Celery diced,Diced
strawberry syrup,Syrup
cottage cheese (paneer) grated,Grated
Butter for applying,Butter
Black olives finely chopped,Olive
For karela stuffing,For
Fresh Coriander Leaves chopped,Coriander
Onions  chopped,Onion 
Canape cups,Canape 
Processed cheese Grated,Grated
Lamb trotters (paya),Trotter
Green curry paste,Paste
Kosher salt,Salt
Coconut water,Water
Gram FLour,Flour
Green tomatoes, tomato
gram Flour,Flour
pomegranate juice,Juice
"Onions large, sliced",Sliced
Dried Red Chiliies,Chiliies
Fresh romaine leaves,Romaine
Tart shells,Shell
Jumbo Prawns,Prawn
Tomato cut into juliennes,Tomato
Fenugreek leaves,Fenugreek 
Apple cider vinegar,Vinegar
Boneless chicken breasts cut into small cubes,Breast
Celery roughly chopped,Celery
Nachos,Nacho
Turnip (shalgam) cut into small cubes,Shalgam
Cucumber peeled and sliced,Peeled
Red chillli powder, chillli 
Cashewnuts coarsely crushed,Crushed
roasted cumin powder,Cumin
Red bell pepper sliced,Sliced
Green capsicum  cut into thin strips,Capsicum
Mango salsa,Salsa
For serving,For
Sugar crystals (khadi sakhar),Sakhar
Sago soaked,Soaked
Green zucchini chopped, zucchini 
"Onion , sliced",Sliced
Porridge Oats,Oat
Mixed herbs chopped,Herb
Fenugreek Leaves chopped,Fenugreek  
garlic,Garlic
Pineapple slices tinned,Tinned
Kidney beans stock,Stock
ginger paste,Paste
Curry leaves fried,Curry
Sweet potatoes boiled and peeled,Potato
Kashmiri red chillies dried,Dried
Beancurd (tofu),Tofu
Green Olives sliced,Sliced
Cupcakes,Cake
Babycorns cut diagonally,Babycorns
For Sauce,For
Brinjal round slices,Slice
Malvani masala,Masala
A few fresh mint leaves,Mint
Mixed micro greens,Micro
Blanched tomatoes  cut into small cubes,Tomato
Pita Breads,Bread
For broccoli pesto,For
Chopped spring onion greens,Onion
Boneless Chicken cut into 1 inch cubes,Chicken
Green capsicum medium,Medium
"Raw banana boiled, peeled and mashed",Peeled
Cumin-coriander powder,Cumincoriander 
Medium cucumber,Cucumber
Tomato purée,Purée
Aloo salli,Salli
Baking Powder,Baking 
Zest for ½ lemon,Zest
Tea Leaves,Tea 
Creamed sweet corn,Corn
Mozzarella cheese cut into cubes,Cheese
Medium green capsicum cut into cubes,Capsicum
"Green chillies, chopped", chilli 
Barley soaked,Soaked
Cottage Cheese cut into cubes,Cheese
Kolhapuri masala,Masala
Red capsicum seeded and chopped,Ed
lemon grass finely chopped,Grass
Red bell pepper cut into strips,Pepper
Kitchen king masala,Masala
Spinach leaves,Spinach 
Mustard,Mustard
Tofu grated,Grated
Ripe mango chopped,Mango
Chaat masala 1 teaspoon +,Teaspoon
Cottage cheese (paneer)  cubed,Cubed
Yellow capsicum cut into strips,Capsicum
Puffed Rice,Puffed
Strawberry syrup,Syrup
Cabbage diced,Diced
French beans sliced diagonally and blanched,Sliced
Guava,Guava
Peanuts roasted & crushed,Crushed
Boneless mutton,Mutton
For bhakarwadi dough,For
Button onions,Onion
Lollorosso lettuce leaves,Lettuce
Molagapodi (gun powder),Gun
steamed rice,Rice
Medium onion grated,Grated
Quinoa boiled,Boiled
A pinch of turmeric powder,P
Samo rice,Rice
Refined flour (maida) rotis,Rotis
green peas fresh,Pea
Carrot peeled and cut into thin strips,Peeled
Spring onions sliced thinly,Sliced
Olive oil for drizzling,Oil
Baguette sliced and lightly toasted,Baguette
Celery sliced,Sliced
Coconut Cream,Cream
Spring onion green curls,Curl
Saffron water,Water
Bread dough,Dough
Gulab jamuns halved,Halved
Salted biscuits,Biscuit
Basa fillets,Fillet
Whole cashewnuts,Cashewnuts
chaat masala,Masala
Boneless mutton cut into 1 inch cubes,Mutton
Lemon grass stem,Stem
soya sauce,Sauce
Water chestnuts,Chestnut
Shortbread,Shortbread
"Red bell pepper roasted, peeled and cut into thin strips",Roasted
Semolina (rawa/suji) roasted,Roasted
Fresh pineapple chopped,Pineapple
Peanut Butter,Butter
crushed red chillies,Crushed
Green capsicum seeded and cubed,Ed
Pomfrets cut into darnes,Pomfret
Peanut's Chikki,Chikki
Edible silver dust,Dust
Carrot thinly sliced,Sliced
Cottage cheese (paneer) cut into 1 inch cubes,Paneer
Skimmed milk cottage cheese (paneer),Skimmed
For balsamic reduction,For
Green peas boiled and crushed,Pea
Mixed Vegetables,Vegetable
Olive oil 1 teaspoon +,Teaspoon
Dry Coconut,Coconut
Fresh coriander leaves sprigs,Coriander
"onion  medium, chopped",Medium
White bread,Bread
Cucumber peeled and diced,Peeled
"Ginger, chopped",Ginger 
Sichuan peppers crushed,Crushed
Fresh brown breadcrumbs,Breadcrumb
Fresh dill leaves finely chopped,Dill
Ghee /oil,Gheeoil
Boiled noodles,Noodle
Onions halved,Halved
Processed cheese cut into small cubes,Cheese
Shelled green peas boiled,Shelled
Bran biscuits or Digestive biscuits,Biscuit
Cinnamon Powder,Cinnamon 
All purpose flour,Flour
Red Bell Pepper,Pepper
Garlic cloves peeled,Peeled
Tomato seeded and finely chopped,Ed
Red capsicum  cut into small cubes,Capsicum
Dried Indian gooseberry (amla),Amla
Artichoke,Artichoke
Fennel seeds (saunf) roasted and crushed,Roasted
Chapatis,Chapati
Pomegranate seeds (anardana) crushed,Crushed
Black pepper powder to taste,Pepper
Enoki mushrooms,Mushroom
green chillies slit,Slit
Mutton cut into 1½ inch pieces on the bone,Mutton
Basil,Basil
Sarson ka saag chopped,Saag
Drumstick,Drumstick
Glazed cherries chopped,Cherry
Zest of 2 lemons,Zest
Almonds cut into slivers,Almond
Potato cut into cubes,Potato
White Sauce,Sauce
Tomatoes thickly sliced,Sliced
Edible silver balls,Ball
"Potatoes boiled, peeled and quartered",Peeled
Melon seeds (magaz) soaked,Soaked
Ginger peeled and sliced,Peeled
Fresh coriander finely chopped,Coriander
jaggery grated,Grated
Corn flour-refined flour slurry,Slurry
Carrots cubed,Cubed
Tomatoes seeded and chopped,Ed
Eggs seperated,Seperated
Dessicated coconut,Coconut
French beans cut into 1/2 inch pieces,Bean
Small green capsicum cut into triangles,Capsicum
Peaches chopped,Peach 
Chia seeds,Chia 
Short crust,Crust
Kasundi Mustard,Mustard
Mint Leaves,Mint 
Papaya,Papaya
"Fresh coriander leaves , chopped",Coriander
Refined FLour,Flour
Lettuce leaves lollo rosso,Lettuce
Green chillies	 slit,Slit
Fresh rocket leaves,Rocket
Green capsicum cubed,Cubed
Potatoes boiled and chopped,Potato
Medium carrot,Carrot
Tinda,Tinda
Rosemary chopped,Rosemary 
Shallots halved,Halved
Fresh coriander paste,Paste
Green chutney as required,Requi
Bitter gourd (karela) peeled and chopped,Peeled
Ghee for applying,Ghee
Filtered mustard oil,Oil
Carrots cut into thin strips,Carrot
Baked Beans,Bean
Refined flour (maida) slurry,Slurry
A few fresh basil leaves,Basil
Tomato Ketchup,Ketchup
For onion jam,For
3 coloured capsicums finely chopped,Capsicum
Babycorns diagonally sliced,Sliced
Coarse rice flour,Flour
Red chilli chopped, chilli 
Spring onion greens cut into thin strips,Onion
Fennel seeds (saunf) crushed,Crushed
Tomatoes cut into round slices,Tomato
Potatoes  boiled and mashed,Potato
Fresh thyme leaves,Thyme
"Mango peeled, chopped and frozen",Peeled
Thick yogurt whisked,Whisked
soya chunks soaked,Soaked
French beans blanched and chopped,Blanched
Covering,Covering
MSG optional,Msg
Zucchini sliced,Sliced
Carom seeds (ajwain) crushed,Crushed
Almonds coarsely crushed,Almond
Roasted peanuts coarsely powdered,Peanut
Malwani masala,Masala
Red pumpkin (bhopla/kaddu) peeled,Peeled
Split Bengal gram (chana dal) soaked for 4 hours and drained,Split
Boondi Laddoos,Laddoos
grated processed cheese,Cheese
Peach tinned,Tinned
Cheese slice,Slice
Dipping sauce,Sauce
Dried coconut (khopra) grated,Grated
Red capsicum seeded and sliced,Ed
Mutton liver cut into small pieces,Liver
Papad to serve,Serve
Fresh home-made white butter,Butter
Raw Mangoes,Mango
Lettuce leaves torn,Torn
Malai,Malai
Vanilla sponge cake crumbled,Crumbled
Tuna mayonnaise,Mayonnaise
Boneless Chicken cut into thin strips,Chicken
Tartar sauce,Sauce
Puffed rice (kurmura),Puffed
Green capsicum cut into ½ inch cubes,Capsicum
Spinach Leaves shredded,Shded
Garlic cloves mashed,Mashed
Curd chillies,Chilli
Oil 3 tablespoons + 1 teaspoon,Teaspoon
Tomato seeded and cut into thin strips,Ed
White chocolate ganache,Ganache
Medium green capsicum cut into thin strips,Capsicum
Sour cream for drizzling,Cream
Seedless grapes,Grape
Baby corn diagonally sliced,Sliced
Butter 2 tablespoons + for greasing,Tablespoon
Butter chilled and diced,Chilled
Beetroot boiled and peeled,Boiled
Flax seeds roasted,Roasted
Papdi,Papdi
Mushrooms halved,Halved
Yellow squash cut into roundels,Squash
Roasted Bengal gram,Gram
"Coconut, scraped",Scraped
Medium potatoes peeled and cut into wedges,Peeled
Garlic cloves peeled and chopped,Peeled
Medium carrot peeled and grated,Peeled
Green chilies, chilies
Wine vinegar,Vinegar
Fresh fenugreek (methi) finely chopped,Methi
Chilli flakes dried,Dried
Butter 225 grams +,Gram
Tomato puree canned,Canned
Prawns (kolambi/jhinga) peeled and deveined,Peeled
Cracked Wheat,Wheat
Prawns deveined,Deveined
Fresh pomegranate pearls (taze anardane),Taze
Mixed nuts crushed,Crushed
Fresh garlic paste,Paste
Unsalted cheese spread,Spread
Mustard seeds micro greens,Micro
"Almonds,blanched and slivered",Blanched
Moong dal soaked,Soaked
Chicken Sausage,Sausage
Green capsicum cut into diamonds,Capsicum
Oil 1,Oil
Chicken Legs,Leg
Pistachios blanched & peeled,Peeled
Medium onion roughly chopped,Onion
Cucumber diced,Diced
"Potatoes medium, boiled, peeled and mashed",Peeled
White sesame seeds for sprinkling,For
Red Chilli Paste,Paste
Bread Sticks,Stick
Silken beancurd,Beancurd
Strawberry Crush,Crush
Butter 90 grams +,Gram
"Tomatoes blanched, skinned and diced",Skinned
Potatoes mashed,Mashed
Onion cut into roundels and layers separated,Separated
Bhaji,Bhaji
Powder sugar, sugar
Kiwi chopped,Kiwi 
Romani,Romani
French Loaf,Loaf
Tooth picks,Pick
Yogurt sour,Sour
Black grapes chopped,Grape
Split skinless green gram (moong dal) soaked,Dal
Fresh coriander leaves chopepd,Coriander
Rice crispies,Crispies
Mixed capsicum curls,Curl
Fresh coriander leaves chopped sprigs,Sprig
Black gram stock,Stock
Potatoes peeled and cut into dices,Peeled
Kolam rice soaked for 4 hours,Soaked
Boneless chicken sliced,Sliced
poppy seeds,Poppy 
Bread sour dough,Dough
Low fat cream,Cream
Bread slices Rye,Rye
Spring onion bulb  chopped,Bulb
Canned pineapple slices,Slice
Lemon curd:,Curd
Lamb chops (chaampan),Chaampan
Peanuts roasted chopped,Roasted
Betel leaves,Betel 
Carrot julienne,Julienne
"Green chillies, finely chopped",Chilli
Potatoes halved,Halved
"Fresh coriander leaves,finely chopped",Coriander
Walnut kernels halved,Halved
Tofu crumbled,Crumbled
Scraped Fresh Coconut,Scraped
Carrot cut into small pieces,Carrot
Sambhar masala,Masala
Small onions peeled,Peeled
Spring onion bulbs thinly sliced,Sliced
"Onion , chopped",Onion 
Moth sprouts,Sprout
Colocassia Leaves,Colocassia 
Fresh red chilli flower,Flower
Eggs hardboiled and cut into wedges,Egg
Fresh strawberries halved,Halved
Parmesan cheese powder 2 teaspoons +,Cheese
Pine nuts(chilgoza) roasted,Roasted
Crabs cleaned,Cleaned
Crumb,Crumb
Sambhar onions peeled,Peeled
Bread slices cut into triangles and toasted,Slice
Green gram, gram
Sweet lime,Lime
zatar spice,Spice
Dough for pizza,Dough
Split Black gram skinless,Split
Kale,Kale
Cucumber slices,Slice
Refined flour (maida) 500 grams,Gram
"Potato peeled, cut into cubes and deep-fried",Peeled
Mushrooms shimeji,Shimeji
Chaat masala 1/2 teaspoon,Teaspoon
"Onions,grated",Grated
Small green capsicum cut into small cubes,Capsicum
Grated cheddar cheese,Cheese
Rice soaked for 30 minutes,Soaked
Onion sliced thinly,Sliced
"Fresh parsley chopped, 1 tablespoon +",Parsley
Toasted white sesame seeds,Sesame
Chicken masala,Masala
White chocolate Melted,Melted
Fenugreek Leaves leaves separated,Separated
Birds eye chillies finely chopped,Chilli
Baby corns diagonally sliced,Sliced
Green capsicums diced,Diced
Dal,Dal
Shrikhand,Shrikhand
Jowar,Jowar
Madras onions peeled,Peeled
Butter 1½ cups +,Butter 
Bayleaf,Bay
Cumin seeds coarsely powdered,Cumin
Cashewnuts coarsely powdered,Cashewnuts
Coriander roots chopped,Root
Green capsicum seeded and diced,Ed
Red bell pepper cut into small cubes,Pepper
Honey mustard sauce,Sauce
Salad to serve,Salad
Iceberg lettuce leaves torn,Torn
Lollo rosso lettuce,Lettuce
Royal icing,Icing
Hot Dog Buns,Bun
Egg wash,Wash
"Parmesan cheese grated, 2 tablespoons +",Tablespoon
Raw mangoes peeled and grated,Peeled
Kale leaves,Kale 
Roasted gram flour,Flour
ginger chopped,Ginger 
Fresh coriander leaves paste,Coriander
Mango jelly,Jelly
Dill Leaves finely chopped,Dill
Jalapeno sliced,Sliced
dried mango powder,Mango
Pickled onions chopped,Onion
Pickled gherkins sliced,Sliced
"Medium potatoes boiled, peeled and cut into cubes",Peeled
Jam,Jam
Custard,Custard
Ripe mango finely chopped,Mango
Oats quick rolled,Rolled
Refined flour (maida) 2½ cups,Maida
Boiled Eggs peeled and halved,Peeled
Spinach leaves (palak) blanched,Blanched
Fresh Scraped coconut,Coconut
Dried pomegranate seeds (anardana) roasted and crushed,Roasted
Pecans chopped,Pecan 
Fresh Green Garlic roughly chopped,Garlic
Water chestnuts quartered,Quarte
Prawns (kolambi/jhinga) cleaned and deveined,Cleaned
Boneless chicken legs,Leg
Split pigeon peas (tuvar dal) cooked,Split
Mozzarella Cheese grated,Grated
Mace blades (javitri),Javitri
Ghee for brushing,Ghee
Fat,Fat
Kodumpuli,Kodumpuli
Red chilli powder 1 teaspoon +,Chilli
Green capsicum juliennes,Julienne
Refined flour (maida) (For slice),Maida
Footlong loaf,Loaf
Ripe mangoes 1-inch cubes of peeled,Cube
Ripe avocado,Avocado
Onions ground,Ground
Carrot peeled and finely chopped,Peeled
Oil 1 tablespoon + for shallow-frying,Tablespoon
Dry mint leaves,Mint
Onions white,White
Silver warq for garnish,Warq
Ghee for drizzling,Ghee
Potatoes diced,Diced
cochineal colour,Colour
Kala jamun pulp,Pulp
Icing sugar sifted,Sugar
White radish grated,Grated
Chocolate vermicelli,Vermicelli
Nihari masala,Masala
Fresh basil leaves roughly chopped,Basil
Pomegranate pearls fresh,Pearl
Coffee Powder,Coffee 
Tender Coconut,Coconut
Fresh coriander springs,Spring
Brown sugar/jaggery,Sugarjaggery
Shrimp paste,Paste
Coconut slices,Slice
Beetroots boiled and peeled,Boiled
Flat noodles,Noodle
Olive oil ½ tablespoon +,Oil
Poppy seeds (khuskhus) soaked,Soaked
granulated sugar,Sugar
Pita Bread,Bread
Parsley fresh sprigs,Sprig
"Capsicum mixed, diced",Diced
Chicken breasts boneless,Boneless
Cashewnuts yogurt,Yogurt
Scraped coconut 1 cup +,Scraped
Mixed fruits,Fruit
Chocolate biscuits,Biscuit
Tomatoes  chopped,Tomato 
Tiramisu ice cream scoops for serving,Scoop
almonds chopped,Almond 
Butter ¾ cup +,¾
Chicken sausages cut into pieces,Sausage
Saffron (kesar) dissolved in 1 tbsp of milk,Dissolved
Hard boiled eggs peeled,Peeled
Pea brinjals,Brinjal
Bok choy,Choy
Capers finely chopped,Caper
Dried pomegranate seeds (anardana) soaked for ½ hour,Anardana
Bread crumbs panko,Panko
Potatoes cut into cubes,Potato
Red pumpkin (bhopla/kaddu) peeled and cut into small cubes,Peeled
Coconut chutney to serve,Chutney
Tomato cut into thin strips,Tomato
Mint essence,Essence
Squids rings,Ring
Sev for sprinkling,Sev
Pistachio slices,Slice
"Mutton on bone, cut into pieces",Mutton
Peanut oil,Oil
Black coffee,Coffee
Broken cashewnuts,Cashewnuts
Spring onion greens chopepd,Onion
Beetroot boiled and grated,Beetroot
For tender coconut and tulsi custard,For
Chicken on the bone,Chicken
Yellow capsicum seeded and chopped,Ed
Squids,Squid
Chapatis leftover,Leftover
Red capsicums cut into thin strips,Capsicum
Screwpine essence (kewra jal),Jal
"Onion medium, sliced",Medium
Pineapple cut into triangles,Pineapple
Garlic Paste,Paste
Sausages cut into roundels,Sausage
FOR PESTO SAUCE,For
Lamb Leg Pieces,Leg
Dark chocolate  chopped,Chocolate
Fresh green peas boiled,Pea
A pinch of green cardamom powder,P
Bananas mashed,Mashed
Honey for drizzling,Honey
Peanuts coarsely crushed,Peanut
Paneer chilli masala,Masala
Tomato deseeded & chopped,Deed
Cola,Cola
Boneless chicken breast cut into thin strips,Breast
Babycorns finely chopped,Babycorns
Butter (For slice),Butter
Lemon thinly sliced,Sliced
Khoya crumbled,Crumbled
Toasted sesame seeds,Toasted
Mustard Leaves,Mustard 
Castor sugar (caster sugar) A pinch +,Sugar
Amla (Indian gooseberry) seeded and chopped roughly,Ed
Split skinless black gram,Split
Basmati Rice soaked for 2 hours and drained,Soaked
Tapioca flour,Flour
Green cardamom seeds crushed,Crushed
Mango cut into triangles,Mango
Green capsicum cut into small triangles,Capsicum
Paanch phoran,Phoran
Walnuts toasted and chopped,Toasted
Spring onions with greens roughly chopped,Onion
Brown stock,Stock
Alfalfa sprouts for topping,Sprout
Eggs hard boiled and shelled,Boiled
Red bell pepper cut into juliennes,Pepper
Onion medium,Medium
"Onions medium, sliced",Medium
Fresh green peas,Pea
Cookies,Cooky
Macaroni blanched,Blanched
Apple diced,Diced
Vanilla Sponge Cake,Cake
Yellow bell pepper cut into juliennes,Pepper
Tomato  chopped,Tomato 
Balsamic Vinegar,Vinegar
millet (jawar) flour,Flour
Dried fenugreek leaves (kasoori methi) crushed,Crushed
Pickled jalapeno sliced,Sliced
Yellow bell pepper sliced,Sliced
Coriander seeds coarsely powdered,Coriander
FOR DOUGH,For
Grated cottage cheese (paneer),Paneer
Jasmine rice,Rice
Green chillies seeded and slit,Ed
Custard apple pulp,Pulp
Rabdi readymade,Readymade
Peaches canned,Canned
Pistachios blanched and finely chopped,Blanched
Roasted almonds finely chopped,Almond
Hulianna masala,Masala
3 coloured capsicums cut into triangles,Capsicum
Black olives Sliced,Sliced
Spring onion greens cut into strips,Onion
Raita to serve,Raita
Rice vermicelli,Vermicelli
mawa,Mawa
Paneer (cottage cheese) mashed,Cheese
Red pepper cut into strips,Pepper
Sesame seeds toasted,Toasted
Brown rice soaked and drained,Soaked
Dark sponge cake,Cake
Large white onion finely chopped,Onion
Sake,Sake
Red chilli powder for sprinkling,Chilli
Yellow capsicum thin strips,Strip
Chicken whole,Whole
French beans stringed and cut into 1 inch pieces,Stringed
French beans blanched and cut into 1/2 inch pieces,Blanched
Almonds and cashewnuts chopped,Almond
Green zucchini finely chopped,Zucchini
Raspberry jelly,Jelly
Chana dal,Dal
Chenna crumbled,Crumbled
Fried fenugreek leaves (kasoori methi),Methi
Medium yellow squash halved vertically and sliced,Halved
Banana(elaichi),Elaichi
Chives finely chopped,Chive
Fenugreek leaves (methi) finely chopped,Fenugreek
red chilli sauce,Sauce
Spinach leaves (palak) finely shredded,Shded
Naan,Naan
Oil 3 tablespoons + for greasing and deep-frying,Tablespoon
Mixed coloured capsicums chopped,Capsicum
"Black peppercorns, crushed",Crushed
Split Bengal gram (chana dal) soaked for 3-4 hours and drained,Split
French beans stringed,Stringed
Rice soaked for ½ hour,Soaked
Basmati rice soaked for 20 minutes and drained,Soaked
Self raising flour,Raising
Tomatoes cut into wedges,Tomato
Leftover rotis,Rotis
Chicken Minced minced,Minced
Mutton 1 inch pieces,Mutton  
Dried fenugreek powder,Fenugreek
Boneless chicken cut into 1/2 inch cubes,Chicken
Potato boiled,Boiled
Ginger powder,Ginger 
Fresh mint leaves bunch,Bunch
Chicken cut into 1 inch cubes,Chicken
Bajra soaked,Soaked
"Onion medium, peeled",Medium
Medium green zucchini halved vertically and sliced,Halved
Oil ½ teaspoon,Teaspoon
Spring onion green strips,Onion
Whole wheat flour (atta) 1½ cups,Flour
"Potatoes medium boiled, peeled",Peeled
Pomegranate (anar) Juice,Juice
Ginger julienne,Julienne
Powdered sugar sifted,Sifted
Whole green grams (sabut moong),Moong
Coarse Whole Wheat flour (Jada Atta),Flour
Apples cubed,Cubed
Leek finely chopped,Leek
White peppercorns crushed,Crushed
Large onions,Onion
Ripe Mango Pulp,Pulp
Walnut Kernels,Kernel
Tulsi leaves chopped,Tulsi  
Medium tomatoes quartered,Quarte
Medium carrot peeled and finely chopped,Peeled
Ladyfingers cut into 1 inch pieces,Ladyfinger
